url,rel,annotator,bias
altermannblog.de,1,evan,2
sethroberts.net,3,evan,0
secnews.gr,4,evan,0
fathersforlife.org,1,evan,2
falkvinge.net,3,evan,0
stevengoddard.wordpress.com,1,evan,2
therebel.media,1,evan,2
freethoughtblogs.com,3,evan,-1
romancatholicman.com,2,evan,2
fitzinfo.net,1,evan,2
electionnight.news,1,evan,2
alecexposed.org,4,evan,-2
all.org,2,evan,2
4ojos.com,5,evan,0
rightjournalism.com,3,evan,2
ezboard.com,5,evan,0
ezralevant.com,1,evan,2
podcastchoices.com,5,evan,0
elishean777.com,1,evan,0
pulpitandpen.org,1,evan,2
altermannblog.de,1,peter,2
sethroberts.net,2,peter,1
secnews.gr,4,peter,0
fathersforlife.org,1,peter,2
falkvinge.net,3,peter,2
stevengoddard.wordpress.com,1,peter,2
therebel.media,2,peter,2
freethoughtblogs.com,3,peter,-2
romancatholicman.com,3,peter,2
fitzinfo.net,1,peter,0
electionnight.news,1,peter,2
alecexposed.org,3,peter,-2
all.org,3,peter,2
4ojos.com,5,peter,0
rightjournalism.com,1,peter,2
ezboard.com,5,peter,0
ezralevant.com,1,peter,2
podcastchoices.com,5,peter,0
elishean777.com,1,peter,0
pulpitandpen.org,1,peter,2
