url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
cashing-one.jp,224,221,63,63,29,24,10,0,0,19,0,0,0,0,0,0,51,751,25,14,16,19,3
kizi-mizi.com,22126,18419,21671,21671,10073,6014,1996,75,0,8077,12051,0,0,123,0,0,17912,2027967,34511,792,487,599,81
fasttrackroofing.com,30860,25049,85,85,30858,30248,4649,0,0,26209,2,0,0,0,0,0,72,1645,373,199,72,83,52
natureo-corbeil.fr,1,1,1189,1189,1,0,0,0,0,1,0,0,0,0,0,0,789,35575,2199,1,1,1,8
new-game-plus.fr,22921,20979,31939,31939,20864,5374,4268,72,0,16593,1916,79,0,40,40,0,26937,1081172,266800,3371,698,877,2163
5feet.com,740,679,1079,1079,740,21,291,38,0,449,0,0,0,23,0,0,1057,19424,2536,158,123,158,195
urbe01.net,20,18,1468,1467,20,5,3,0,0,17,0,0,0,0,0,0,1464,121369,4031,10,10,10,176
www.skapiec.pl,9675284,5196920,0,0,9667847,6636342,5913662,12165,13,3754164,2955,49,1,230,6,0,0,0,0,3780,2678,9401,0
www.galeria.skijumping.pl,2062,1041,143353,143353,2062,513,303,29,0,1759,0,0,0,0,0,0,143322,1494963,286719,164,75,87,6
martitoralergia.es,80,75,1780,1780,69,1,8,1,0,61,11,0,0,0,0,0,1719,27580,2526,12,25,28,6
messmakesfood.com,49052,26029,379,379,48924,411,4105,888,0,44808,49,28,4,5,46,4,212,6640,1044,618,355,462,248
www.menezhom-atlantique.bzh,236194,234084,9262,9260,236039,2898,60,0,0,235979,155,0,0,0,0,0,9254,229554,49440,208,148,183,232
philly.happeningmag.com,4551,3722,15,13,4537,3808,1663,21,0,2874,14,0,1,1,0,0,0,12,0,703,283,333,0
happenins.com,0,0,512,511,0,0,0,0,0,0,0,0,0,0,0,0,473,48730,2081,0,0,0,0
www.gzdcyqyb.com,1763,1763,2170,2163,1760,0,909,0,0,851,2,0,0,0,0,0,2159,239624,10899,31,48,93,22
www.gzhylock.com,2395,2395,183,182,2395,0,0,0,0,2395,0,0,0,0,0,0,124,2790,321,8,8,8,15
www.happyhealthyfamilies.com,29329,13186,2733,2733,29253,2487,749,55,0,28502,25,4,0,0,35,6,2553,40505,21870,393,122,186,1421
www.gzrsk.com,182585,60552,34102,34085,182585,132575,414,0,0,182171,0,0,0,0,0,0,33827,3868093,220973,34,37,38,367
www.happymodpro.com,5069217,3196822,53565,53563,5069217,71462,2350,1,0,5066867,0,0,0,0,0,0,52256,1664495,223917,407,337,456,18
www.happyquiltingmelissa.com,585084,210546,90336,90326,581177,13932,2854,193,0,578323,323,111,0,2,0,2291,90319,8456011,7760071,1277,495,682,1647
haqzjy.com,2,1,7244,7241,2,0,2,0,0,0,0,0,0,0,0,0,7239,128697,2920,1,1,1,51
www.stiigo.com,621,313,1388,1388,618,0,6,0,0,612,1,0,0,0,2,0,1369,35444,1738,16,26,35,21
www.kitallumage.com,2827,1428,30,30,2827,5,189,0,0,2638,0,0,0,0,0,0,28,345,19,54,53,60,14
www.kitanihon-senshu.com,54,40,483,483,54,12,11,0,0,43,0,0,0,0,0,0,461,13177,6307,15,16,17,32
www.kitapokuyorum.com,5,5,398,398,5,2,5,0,0,0,0,0,0,0,0,0,226,70761,759,3,3,3,3
kesslercrane.com,31965,11825,2141,2141,31744,9445,3938,106,0,27791,12,146,0,24,0,55,1229,69194,5166,1052,801,959,83
keunwookji.com,2,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,0
kewystore.com,552,539,27950,27948,552,21,529,55,0,23,0,0,0,13,0,0,27337,439688,100591,43,45,45,7
www.discounted-rugs.com,465,315,19796,19793,465,16,339,0,0,126,0,0,0,0,0,0,14249,215898,43943,78,65,77,9
iqlolly.com,541,534,14,14,541,0,0,0,0,541,0,0,0,0,0,0,14,0,0,2,17,22,0
iranindustrial.com,508,297,138350,138301,508,50,301,0,0,207,0,0,0,4,0,0,133970,3810219,970406,111,82,90,10
usa.iravin.com,263,101,36,36,260,8,222,0,4,38,3,0,0,0,0,0,4,186,0,78,51,57,6
ireggae.com,20633,12468,2269,2269,20629,1824,526,16,0,20103,1,0,0,26,3,0,1322,55541,25978,453,311,370,1847
irisbeach.com,190,158,8,8,190,13,84,0,0,106,0,0,0,0,0,0,5,3,0,50,61,69,0
news.rcc.jp,51579,7499,14494,14492,50108,27906,2014,15,0,48087,366,1103,0,29,0,0,289,32536,6586,607,471,625,24
556.com.tw,391028,390088,49185,49113,391028,389239,594,1,0,390434,0,0,0,0,0,0,48585,20333030,293559,35,42,52,15
big.travel,1796,1562,10,10,1774,171,678,226,1,1095,6,0,0,0,16,0,2,142,8,223,175,203,8
