url,is_news,is_misinfo,is_biased
nytimes.com,1,0,0
nypost.com,1,0,0
nationalreview.com,1,0,1
washingtonpost.com,1,0,0
suntimes.com,1,0,0
reuters.com,1,0,0
dailymail.co.uk,1,0,0
townhall.com,1,1,1
news.yahoo.com,1,0,0
cnn.com,1,1,0
observer.com,1,0,0
breitbart.com,1,0,0
wnd.com,1,1,1
politico.com,1,0,0
foxnews.com,1,1,0
washingtonexaminer.com,1,0,0
nydailynews.com,1,0,0
bbc.co.uk,1,0,0
wsj.com,1,0,0
boston.com,1,0,0
cbsnews.com,1,0,0
thehill.com,1,0,0
weeklystandard.com,1,0,0
msn.com,1,0,0
usatoday.com,1,0,0
drudgereport.com,1,1,0
variety.com,1,0,0
bloomberg.com,1,0,0
deadline.com,1,0,0
hollywoodreporter.com,1,0,0
thesun.co.uk,1,0,1
washingtontimes.com,1,1,0
time.com,1,0,0
upi.com,1,0,0
mediabistro.com,1,0,0
sky.com,1,0,0
theguardian.com,1,0,0
bostonherald.com,1,0,0
thedailybeast.com,1,0,0
slate.com,1,0,1
rollcall.com,1,0,0
telegraph.co.uk,1,0,0
pagesix.com,1,1,0
latimes.com,1,0,0
boxofficemojo.com,1,1,0
france24.com,1,0,0
people.com,1,0,0
quantcast.com,1,0,0
ft.com,1,0,0
smh.com.au,1,0,0
forbes.com,1,0,0
finance.yahoo.com,1,0,0
inquirer.com,1,0,0
jewishworldreview.com,1,1,1
dailycaller.com,1,0,1
realclearpolitics.com,1,1,0
sfgate.com,1,0,0
anncoulter.com,1,1,1
independent.co.uk,1,1,0
usnews.com,1,0,0
go.com,1,0,0
apnews.com,1,0,0
ew.com,1,0,0
myway.com,1,0,0
eonline.com,1,0,0
apple.com,1,0,0
ians.in,1,0,0
jpost.com,1,0,0
axios.com,1,0,0
gertzfile.com,0,1,1
dailynews.com,1,0,0
newsbusters.org,1,1,1
mirror.co.uk,1,1,0
ananova.com,1,1,1
express.co.uk,1,0,0
humanevents.com,1,0,1
nymag.com,1,0,1
interfax.com,1,0,0
spiegel.de,1,0,0
csmonitor.com,1,0,0
cbslocal.com,1,0,0
villagevoice.com,1,0,0
thesmokinggun.com,1,1,1
thenation.com,1,0,0
newsday.com,1,0,0
billboard.com,1,0,0
newyorker.com,1,0,0
refdesk.com,1,0,0
rushlimbaugh.com,1,1,1
dickmorris.com,1,1,1
motherjones.com,1,0,0
newseum.org,0,1,0
lucianne.com,1,1,1
cnbc.com,1,0,0
ap.org,1,0,0
vanityfair.com,1,0,0
biz.yahoo.com,1,1,1
adweek.com,1,0,0
salon.com,1,0,0
nbcnews.com,1,0,0
thegatewaypundit.com,1,1,1
pandemic.news,1,1,1
zerohedge.com,1,1,1
theepochtimes.com,1,0,0
rairfoundation.com,1,1,1
summit.news,1,1,1
leohohmann.com,1,1,1
westernjournal.com,1,0,0
lifesitenews.com,1,1,1
redstate.com,1,1,1
naturalnews.com,1,1,1
pjmedia.com,1,1,1
bigleaguepolitics.com,1,1,1
christianpost.com,1,0,0
frontpagemag.com,1,1,1
newstarget.com,1,1,1
brighteon.com,1,1,1
gellerreport.com,1,1,1
vaccines.news,1,1,1
newspunch.com,1,1,1
deplorablekel.com,0,1,1
substack.com,1,0,0
bitchute.com,1,1,0
thewatchtowers.org,1,1,1
cbn.com,1,0,0
redvoicemedia.com,1,1,1
americanfaith.com,1,1,1
youtu.be,1,1,0
gatestoneinstitute.org,1,1,1
agenda21radio.news,0,1,1
rt.com,1,0,0
humansbefree.com,1,1,1
theblaze.com,1,0,1
childrenshealthdefense.org,1,1,1
thepeoplesvoice.tv,1,1,1
tunein.com,1,0,0
stitcher.com,1,0,0
trendingpolitics.com,1,1,1
pasadenanow.com,1,0,0
businessinsider.com,1,0,0
youtube.com,1,1,0
rumble.com,1,1,0
twitter.com,1,1,0
reclaimthenet.org,1,1,1
timesofisrael.com,1,0,0
wakingtimes.com,1,1,1
lc.org,1,1,1
thelocal.dk,1,0,0
globalresearch.ca,1,1,1
pandora.com,1,1,0
the-sun.com,1,0,1
amg-news.com,1,1,1
amazon.com,1,0,0
facebook.com,1,1,0
parler.com,1,1,0
sagepayments.net,0,0,0
worldvaccinepoll.com,0,1,1
aier.org,1,1,0
podcasts.google.com,1,0,0
libsyn.com,1,0,0
spotify.com,1,0,0
instagram.com,1,1,0
guidestar.org,1,0,0
list-manage.com,1,0,0
medscape.com,1,0,0
ajc.com,1,0,0
gab.com,1,1,0
10news.com,1,0,0
believersportal.com,1,1,1
bongino.com,1,1,1
odysee.com,1,1,1
healthimpactnews.com,1,1,1
gettr.com,1,0,0
aapsonline.org,1,0,0
freewestmedia.com,1,1,1
greatgameindia.com,1,1,1
harbingersdaily.com,1,1,1
humansarefree.com,1,1,1
euronews.com,1,0,0
prnewswire.com,1,0,0
beforeitsnews.com,1,0,0
z3news.com,1,1,0
audible.com,1,0,0
iheart.com,1,0,0
jiosaavn.com,0,1,0
player.fm,1,0,0
garykah.org,0,1,1
deezer.com,1,1,0
bignewsnetwork.com,1,0,1
allafrica.com,1,0,0
feedproxy.google.com,1,0,0
networks.org,0,1,1
moreover.com,1,0,0
nzherald.co.nz,1,0,0
newkerala.com,1,1,0
dnaindia.com,1,1,0
irc-news.com,0,1,1
cbc.ca,1,0,0
wsvn.com,1,0,0
monstersandcritics.com,1,0,0
rediff.com,1,0,0
freep.com,1,0,0
oklahoman.com,1,0,0
menafn.com,1,0,0
worldpress.org,1,0,0
iol.co.za,1,0,0
abc.net.au,1,0,0
voanews.com,1,0,0
floridastatesman.com,0,1,1
thehindu.com,1,0,0
nwsource.com,1,0,0
indiagazette.com,0,1,1
malaysiasun.com,1,1,1
theage.com.au,1,0,0
redorbit.com,1,0,0
londonmercury.com,1,1,1
chinapost.com.tw,1,0,0
globalsecurity.org,1,0,0
post-gazette.com,1,0,0
iht.com,1,0,0
feedburner.com,1,0,0
ghanaweb.com,1,0,0
wcax.com,1,0,0
rnz.co.nz,1,0,0
examiner.com,1,0,0
newsonfeeds.com,0,1,0
jacksonville.com,1,0,0
irishsun.com,0,1,1
radionz.co.nz,1,0,0
novinite.com,1,0,0
australianherald.com,0,1,1
panarmenian.net,1,0,0
wn.com,1,0,0
fox8live.com,1,0,0
orlandosentinel.com,1,0,0
people.com.cn,1,1,0
dallasnews.com,1,0,0
nowpublic.com,1,1,1
thaindian.com,1,1,1
wistv.com,1,0,0
newsok.com,1,0,0
nationmultimedia.com,1,0,0
trust.org,1,0,0
channel4.com,1,0,0
sunstar.com.ph,1,0,0
thestar.com.my,1,0,0
kcbd.com,1,0,0
channelnewsasia.com,1,0,0
katu.com,1,0,0
bizjournals.com,1,0,0
wsjonline.com,0,1,1
wbay.com,1,0,0
desmoinesregister.com,1,0,0
macleans.ca,1,0,0
azcentral.com,1,0,0
pittsburghlive.com,1,0,0
waff.com,1,0,0
canoe.ca,1,0,0
softpedia.com,1,0,0
philippinetimes.com,0,1,1
journalgazette.net,1,0,0
wafb.com,1,0,0
wgem.com,1,0,0
wave3.com,1,0,0
torontotelegraph.com,0,1,0
clarionledger.com,1,0,0
kfvs12.com,1,0,0
antaranews.com,1,0,0
ign.com,1,0,0
inquirer.net,1,0,0
nst.com.my,1,0,0
people.cn,1,0,0
reason.com,1,0,0
investors.com,1,0,0
justoneminute.typepad.com,1,1,1
professorbainbridge.com,1,1,1
chicagoboyz.net,1,1,1
buzzmachine.com,1,0,1
sisu.typepad.com,0,1,1
washingtonmonthly.com,1,0,1
cafepress.com,1,0,0
scitechdaily.com,1,0,0
hoystory.com,0,1,1
crookedtimber.org,1,0,1
howardowens.com,0,1,1
ejectejecteject.com,1,1,1
becker-posner-blog.com,1,1,1
baldilocks.typepad.com,0,1,1
thefatguy.com,0,1,1
ernietheattorney.net,0,1,1
blogcritics.org,1,0,1
nickdenton.org,1,1,1
strategypage.com,1,1,1
fraterslibertas.com,1,1,1
talkingpointsmemo.com,1,0,1
aldaily.com,1,0,1
salemmedia.com,0,1,1
deanesmay.com,0,1,1
foresight.org,1,0,0
imao.us,1,1,1
damianpenny.com,0,1,1
gnxp.com,1,1,1
althouse.blogspot.com,0,1,1
powerlineblog.com,1,1,1
theatlantic.com,1,0,0
balloon-juice.com,1,1,1
slashdot.org,1,0,0
insidehighered.com,1,0,0
volokh.com,1,0,1
tcsdaily.com,0,1,1
hughhewitt.com,1,0,1
rightwingnews.com,1,1,1
prospect.org,1,0,1
fightaging.org,1,1,1
blackfive.net,1,0,1
armsandthelaw.com,1,1,1
harvard.edu,1,0,0
vpostrel.com,0,0,1
rantburg.com,0,1,1
corante.com,1,0,1
billhobbs.com,0,1,1
isthatlegal.org,0,1,1
overlawyered.com,1,1,1
scalzi.com,1,1,1
highclearing.com,0,1,1
snappingturtle.net,1,1,1
mullings.com,1,1,1
kausfiles.com,0,1,0
iwf.org,1,0,1
bearstrong.net,1,1,1
carnell.com,1,1,1
seanet.com,1,0,1
discriminations.us,1,1,1
mamapundit.com,0,1,1
listenmissy.com,0,1,1
blogsofwar.com,1,1,1
politicsdaily.com,1,0,0
lessig.org,1,0,1
photodude.com,0,1,1
site-essential.com,0,1,1
trendmacro.com,0,1,1
figureconcord.com,0,1,1
scripting.com,1,0,0
aintnobaddude.com,0,1,1
wifinetnews.com,1,1,1
oraculations.blogspot.com,0,1,1
rantingprofs.typepad.com,0,1,1
kevinholtsberry.com,0,1,1
longtail.typepad.com,1,0,0
geekpress.com,0,1,1
herald.com,1,0,1
tinylittlepenis.com,0,1,1
crankyprofessor.com,0,1,1
markbyron.typepad.com,0,1,1
richhailey.com,0,1,1
coldfury.com,1,1,1
defensetech.org,1,1,1
vice.com,1,0,0
hugedomains.com,1,1,0
thenationalnews.com,1,0,0
umass.edu,1,0,0
borderlessblog.com,0,1,1
projectcensored.org,1,1,1
grubstreet.com,1,1,1
samharris.org,1,1,0
nature.com,1,0,0
recode.net,1,0,0
kotlikoff.net,0,1,1
kunstler.com,1,1,1
safehaven.com,1,1,1
mintpressnews.com,1,1,1
cchange.net,0,1,1
dailyreckoning.com,1,1,1
financialsense.com,1,1,1
leftbusinessobserver.com,1,1,1
marketwatch.com,1,0,0
opednews.com,1,1,1
prowrestling.net,0,1,1
deadspin.com,1,0,1
socialistworker.org,1,1,1
garalperovitz.org,0,1,1
counterpunch.org,1,0,1
abovetopsecret.com,1,1,1
digitaljournal.com,1,0,0
smashpipe.com,0,1,0
usuncut.com,1,1,1
naomiklein.org,1,0,0
councilforthenationalinterest.org,1,1,1
npr.org,1,0,0
medium.com,1,0,0
vox.com,1,0,0
returnofkings.com,1,1,1
africageographic.com,1,1,0
myspace.com,1,0,0
thenational.ae,1,0,0
schoolsucksproject.com,0,1,1
hollywoodlife.com,1,0,0
firstpost.com,1,0,0
bfm.my,1,1,0
gizmodo.com,1,0,0
goldseek.com,1,1,1
leoaffairs.com,0,1,1
hachettebookgroup.com,1,0,0
rdwolff.com,1,1,1
viralnova.com,1,1,0
occupydemocrats.com,1,1,1
jezebel.com,1,0,0
transitionvoice.com,1,1,1
bnnbloomberg.ca,1,1,0
billmoyers.com,1,0,1
cafe.com,1,1,0
congressionaldish.com,1,1,1
crimethinc.com,1,1,1
foreignpolicy.com,1,0,0
guernicamag.com,1,0,1
investmentwatchblog.com,1,1,1
jimhightower.com,0,1,1
libertynews.com,1,1,1
madworldnews.com,1,1,1
moneyish.com,1,0,0
nomiprins.com,1,1,1
notey.com,1,1,1
truewestmagazine.com,1,0,1
ufosightingsdaily.com,1,1,1
underwatertimes.com,1,1,1
worldpoliticsjournal.com,0,1,1
ips-dc.org,1,0,1
itsgoingdown.org,1,1,1
scotthorton.org,1,1,1
thefederalistpapers.org,1,1,0
theimaginativeconservative.org,1,1,1
ora.tv,1,0,0
worldtruth.tv,1,1,1
capitalandmain.com,1,0,0
manhattan-institute.org,1,0,0
therealnews.com,1,0,1
thestreet.com,1,0,0
en.wikipedia.org,1,1,0
qando.net,1,1,1
mu.nu,1,1,1
firstthings.com,1,0,1
blogger.com,1,0,0
atlasshrugs2000.typepad.com,1,1,1
theness.com,1,1,1
hotair.com,1,0,1
theodoresworld.net,1,1,1
everyeventgives.com,1,0,0
barnhardt.biz,1,1,1
americanglob.com,1,1,1
bestkitchen-faucets.blogspot.com,0,1,1
jimtreacher.com,0,1,1
climatechangefraud.com,0,1,1
nalert.blogspot.com,1,1,1
fumento.com,1,1,1
blogs.com,1,0,0
valley-of-the-shadow.blogspot.com,0,1,1
thepeoplescube.com,1,1,1
the-american-interest.com,1,0,0
independent.org,1,0,0
villainouscompany.com,1,1,1
countrystore.blogspot.com,0,1,1
righttruth.typepad.com,0,1,1
plancksconstant.org,1,1,1
