url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
nytimes.com,598911634,191047050,7117249,7116445,596665708,18878497,54728078,1384833,89487,541799389,318338,656865,785451,27554744,125846,748560,3192355,193063770,25559867,1807808,188970,612757,317216
nypost.com,68423865,24479309,1509441,1509321,68141068,6260776,7973797,254988,20325,60153256,36369,41811,23241,874444,15670,3068,1070937,100362155,38983170,561281,72303,209329,60837
nationalreview.com,50312634,12785103,1247747,1247743,50290560,491779,1177392,78006,848,49111632,6810,3627,1853,117199,2359,382,714655,51516835,21034477,115448,30036,71170,27624
washingtonpost.com,143886206,63557246,2378482,2378442,143101279,4338865,13970410,574538,12241,129106332,91836,158640,64573,1661786,42175,150,1161579,52467647,8619850,1128146,135005,410281,139256
suntimes.com,30173398,10374605,210262,210249,30069916,1356540,1305696,30393,414,28763396,7916,8886,6289,34816,36253,47058,110448,10631888,1633867,133104,32551,79284,10053
reuters.com,759118490,84806065,8958660,8957577,757756477,16407992,25813457,728807,42777,731872192,755467,243081,84182,1292387,152421,2589,4594782,158484818,59610501,858647,136189,394088,51207
dailymail.co.uk,143002339,50549830,6152489,6152338,140971068,19064065,17775906,813164,26158,123158285,156120,585271,5804,414444,336869,303785,2258094,666520296,32000086,1147267,109260,328683,82359
townhall.com,31197501,8767332,529580,529547,31186688,1217505,558049,58421,109,30627796,7746,272,507,27698,1379,255,443884,22675416,4501846,69665,18769,40184,18814
news.yahoo.com,351059490,103523629,18431381,18431147,345038479,17394620,11546300,471669,3463,333477148,342735,4230909,80973,892166,27404,5020,14330044,688289998,384166992,540016,87330,222566,467276
cnn.com,398933977,97093410,3119387,3119290,395150165,25619775,49621701,1717449,22319,345458758,961787,2254954,757497,4174746,94028,10325,1545519,113815590,14309231,1537870,157846,479238,80339
observer.com,14144130,4086318,563539,563535,14104650,351475,2156180,508629,893,11947282,13358,14936,1927,362135,1230,9203,454495,19183431,6548763,176713,37307,85112,53410
breitbart.com,47683070,12282662,1073062,1073043,47481057,2004239,2959308,315185,823,44513563,60989,95925,1002,15443,31694,1412,724336,47732048,10443903,162373,30482,73189,41638
wnd.com,23152913,5733064,374023,374022,23079493,876722,655719,65826,165,22423273,44106,1013,172,5397,8481,8165,226495,33655626,3294715,76118,18137,36314,33256
politico.com,54236858,16278646,1690698,1690682,54096637,1264792,5241607,204682,963,48850786,38981,80373,27872,227869,4667,2741,807761,35015737,9610176,310340,59273,159993,38415
