url,response_code
12minutos.com,200
16wmpo.com,200
20minutenews.com,404
247newsmedia.com,200
24aktuelles.com,200
24online.news,200
24usainfo.com,exception
24wpn.com,200
abcnews.com.co,200
actualite.co,200
actualites.co,200
adobochronicles.com,200
alabamaobserver.com,200
aldipest.com,200
alertchild.com,200
alynews.com,200
americafans.com,403
americanflare.com,200
americanflavor.news,200
americanjournalreview.com,200
americanpeoplenetwork.com,200
americanpoliticnews.co,200
americanpresident.co,200
americanprides.com,200
americasnewest.com,exception
amposts.com,200
anews-24.com,200
anews24.org,200
angrypatriotmovement.com,404
anonjekloy.tk,exception
areyouasleep.com,200
asamericanasapplepie.org,200
associatedmediacoverage.com,200
aurora-news.us,200
badcriminals.com,200
baldwinpost.com,exception
baltimoregazette.com,200
battypost.com,exception
bb4sp.com,200
beforeitsnews.com,200
belgique.actualites.co,exception
bients.com,200
bigbluevision.org,exception
bignuggetnews.com,exception
bizstandardnews.com,200
bluevision.news,exception
bluevisionpost.com,exception
borderherald.com,200
bostonleader.com,200
breakingtop.world,exception
burrardstreetjournal.com,200
butthatsnoneofmybusiness.com,exception
buzzfeedusa.com,200
cartelpress.com,200
cartelreport.com,200
celebtricity.com,200
channel16news.com,200
channel17news.com,403
channel18news.com,200
channel22news.com,403
channel23news.com,403
channel28news.com,403
channel34news.com,403
channel45news.com,403
channel5000.com,200
choiceandtruth.com,403
christiantimesnewspaper.com,200
christiantoday.info,200
chuckcallesto.blogspot.com,404
civictribune.com,exception
clancyreport.com,200
clashdaily.com,200
clear-politics.com,200
cnn.com.de,200
cnnews3.com,200
consciouslyenlightened.com,exception
conservativearmy88.com,200
conservativedailypost.com,200
conservativeflashnews.com,200
conservativeinfocorner.com,exception
conservativeinsider.co,exception
conservativespirit.com,200
conservativestudio.com,200
consnation.com,200
cooltobeconservative.com,200
daily-sun.com,200
dailycurrant.com,200
dailyfinesser.com,200
dailyinfobox.com,exception
dailyinsidernews.com,200
dailynews10.com,200
dailynews11.com,200
dailynews3.com,200
dailynews33.com,exception
dailynews5.com,403
dailynewsposts.info,200
dailyoccupation.com,exception
dailypresser.com,404
dailysurge.com,200
dailyusaupdate.com,200
damnleaks.com,200
democraticmoms.com,404
denverguardian.com,200
denverinquirer.com,400
departed.co,200
departedmedia.com,exception
dineal.com,200
disclose.tv,200
diyhours.net,exception
donaldtrumpnews.co,200
donaldtrumppotus45.com,200
drugsofficial.com,200
embols.com,200
empireherald.com,200
empirenews.net,200
empiresports.co,200
en-volve.com,200
en.mediamass.net,200
endingthefed.com,200
enhlive.com,200
everydaybreakingnews.com,200
everynewshere.com,200
famousviralstories.com,403
fanzinger.com,200
federalistnation.com,exception
federalisttribune.com,200
fedsalert.com,200
flashinfo.org,200
flashnewscorner.com,200
floridasunpost.com,200
focusnews.info,200
folksvideo.com,200
fox-news24.com,200
france.actualites.co,exception
freddymag.com,406
freedomcrossroads.us,200
freedomdaily.com,200
freedomsfinalstand.com,200
freshdailyreport.com,exception
friendsofsyria.wordpress.com,200
givemeliberty01.com,200
globalassociatednews.com,exception
globalpoliticsnow.com,200
greenvillegazette.com,200
guerilla.news,200
guerillanews.com,403
gummypost.com,200
halturnershow.com,200
headlinebrief.com,200
healthyworldhouse.com,200
heaviermetal.net,200
hotglobalnews.com,200
houstonchronicle-tv.com,200
huzlers.com,200
ilovemyfreedom.org,200
interestingdailynews.com,exception
intrendtoday.com,200
ipatriot.com,200
isthatlegit.com,200
jokerviral.com,exception
kata33.com,exception
klponews.com,200
km8news.com,404
kmt11.com,200
knp7.com,200
konkonsagh.biz,200
krbcnews.com,200
kspm33.com,200
kupr7.com,200
ky12news.com,200
ky6news.com,exception
kypo6.com,200
ladylibertysnews.com,400
landrypost.com,exception
lastdeplorables.com,exception
liberalplug.com,200
liberty-courier.com,exception
libertyalliance.com,200
libertywritersnews.com,exception
local31news.com,exception
localnews33.com,200
londonwebnews.com,200
lopezreport.com,exception
madworldnews.com,200
mainerepublicemailalert.com,200
majorthoughts.com,200
maywoodpost.com,exception
mbynews.com,200
mckenziepost.com,403
mediazone.news,403
metropolitanworlds.com,exception
mississippiherald.com,200
morningnewsusa.com,exception
mrnewswatch.com,exception
msfanpage.link,exception
msnbc.website,200
nationalinsiderpolitics.com,exception
nationalreport.net,200
nbc.com.co,200
ncscooper.com,200
neonnettle.com,200
nephef.com,200
nevo.news,exception
newpoliticstoday.com,200
news14kgpn.com,exception
news14now.com,exception
news4ktla.com,200
newsbiscuit.com,200
newsbreakingspipe.com,exception
newsbreakshere.com,200
newsbuzzdaily.com,200
newsbysquad.com,200
newsdaily10.com,exception
newsdaily12.com,200
newsdaily27.com,200
newsexaminer.net,200
newsfeedhunter.com,200
newsfeedobserver.com,exception
newshubs.info,200
newsjustforyou1.blogspot.com,200
newsleak.co,200
newslo.com,200
newsnow17.com,exception
newswatch33.com,403
newzmagazine.com,200
notallowedto.com,403
noticias365.info,200
now8news.com,200
nymeta.co,200
occupydemocrats.com,200
onepoliticalplaza.com,200
openmagazines.com,200
oreillypost.com,200
ourlandofthefree.com,200
paris.actualites.co,exception
patriothangout.com,200
persecutes.com,200
politicops.com,200
politicot.com,200
politicsusanews.com,200
powerdaily.us,exception
president45donaldtrump.com,exception
pressunion.org,200
prntly.com,200
proudleader.com,exception
qualitysharing.com,200
react365.com,200
readconservatives.news,200
realnewsrightnow.com,200
redcountry.us,200
redinfo.us,exception
redrocktribune.com,200
redstatewatcher.com,200
religionmind.com,200
rickwells.us,500
rilenews.com,200
rogue-nation3.com,200
rumorjournal.com,exception
satiratribune.com,200
scrapetv.com,200
smhwtfnews.com,exception
snoopack.com,exception
socialeverythings.com,200
southernconservativeextra.com,exception
spinzon.com,200
statenation.co,exception
states-tv.com,200
stgeorgegazette.com,403
straightstoned.com,200
stuppid.com,200
success-street.com,200
supremepatriot.com,200
tdnewswire.com,exception
tdtalliance.com,200
teddystick.com,403
telegraphsun.com,200
the-insider.co,200
the-postillon.com,404
theavocadonews.com,exception
thebostontribune.com,200
thebreakingnews.co,200
theexaminer.site,exception
thefrt.com,200
theinternationalreporter.org,200
theinternetpost.net,200
thelastlineofdefense.org,200
themoralofthestory.us,200
thenationalsun.com,200
thenet24h.com,exception
thenewsnerd.com,200
thenewyorkevening.com,200
thenochill.com,403
thepoliticaltribune.com,200
thepremiumnews.com,200
theracketreport.com,200
thereporterz.com,200
therightists.com,200
theseattletribune.com,200
thetrumpmedia.com,exception
theusa-news.com,200
theusaconservative.com,200
thevalleyreport.com,403
thewashingtonpress.com,404
times.com.mx,200
tmzbreaking.com,200
tmzbusiness.com,404
tmzcomedy.com,200
tmzhiphop.com,200
tmzuncut.com,200
tmzurban.com,200
tmzworldnews.com,200
tmzworldstarnews.com,exception
trueamericans.me,exception
truetrumpers.com,200
truthkings.com,exception
undergroundnewsreport.com,200
unitedmediapublishing.com,406
universepolitics.com,200
usa-conservative.com,exception
usa-radio.com,200
usa-television.com,200
usadailyinfo.com,200
usadailypost.us,200
usadailytime.com,exception
usadosenews.com,200
usafirstinformation.com,exception
usanews4u.us,exception
usanewsflash.com,200
usanewshome.com,200
usanewstoday.com,200
usapolitics24hrs.com,200
usapoliticsnow.com,200
usapoliticstoday.com,403
usapoliticszone.com,exception
usasnich.com,200
usatodaynews.me,exception
usatodaypolitics.com,exception
usaworldbox.com,406
ushealthyadvisor.com,200
ushealthylife.com,200
usherald.com,exception
usinfonews.com,200
uspoln.com,200
uspostman.com,200
vesselnews.io,200
viralactions.com,200
viralcocaine.com,200
viralcords.com,200
viraldevil.com,200
viralmugshot.com,200
viralpropaganda.com,200
viralspeech.com,404
viralstuppid.com,404
voxtribune.com,200
washingtonevening.com,200
washingtonfeed.com,200
washingtonpost.com.co,exception
wazanews.tk,exception
wcpm3.com,exception
weconservative.com,200
weekendherald.com,200
wetheproudpatriots.com,200
wftj8news.com,exception
whatsupic.com,exception
witscience.org,200
wleb21.com,406
wm21news.com,200
wmacnews.com,exception
wmb36.com,exception
world-politicus.com,200
worldinformation24.info,exception
worldnewsdailyreport.com,200
worldnewspolitics.com,200
worldpoliticsnow.com,exception
worldpoliticus.com,500
wrejnews.com,exception
wrpt16.com,exception
wtoe5news.com,200
xbn-news.com,exception
yesimright.com,200
yournewswire.com,200
zootfeed.com,200
100percentfedup.com,403
2ndvote.com,200
activistpost.com,403
afa.net,200
ahtribune.com,exception
allenbwest.com,403
americannews.com,exception
americantoday.news,200
americasfreedomfighters.com,200
anonews.co,200
anonhq.com,200
awarenessact.com,200
barenakedislam.com,200
bipartisanreport.com,200
channel-7-news.com,200
collective-evolution.com,exception
concealednation.org,200
conservativefiringline.com,200
conservativeoutfitters.com,402
conservativepost.com,200
conservativetribune.com,200
crooksandliars.com,200
dailycaller.com,200
dailyheadlines.net,200
dailynewsbin.com,200
dailypost.ng,200
dailystormer.com,exception
dailywire.com,200
davidwolfe.com,200
dcclothesline.com,200
defund.com,200
dennismichaellynch.com,403
downtrend.com,200
endoftheamericandream.com,200
endtimeheadlines.org,200
eutimes.net,406
express.co.uk,200
fellowshipoftheminds.com,200
frontpagemag.com,200
fury.news,exception
getoffthebs.com,exception
gopthedailydose.com,exception
gotnews.com,200
healthnutnews.com,406
heatst.com,200
impulsetoday.com,500
infowars.com,200
inquisitr.com,200
iotwreport.com,200
joeforamerica.com,200
jookos.com,exception
judicialwatch.org,403
louderwithcrowder.com,200
medicalkidnap.com,200
myfreshnews.com,200
naturalnews.com,200
newcenturytimes.com,200
newsrescue.com,200
nowtheendbegins.com,403
observatorial.com,200
onlysimchas.com,200
palmerreport.com,200
pamelageller.com,403
powdeRedwigsociety.com,200
qpolitical.com,200
Redflagnews.com,exception
regated.com,200
religiousmind.com,200
rightsidenews.com,200
rightwingnews.com,200
shariaunveiled.wordpress.com,410
sourceplanet.net,406
stateofthenation2012.com,200
superstation95.com,200
theconservativetreehouse.com,200
theeventchronicle.com,200
thefederalistpapers.org,200
thefreepatriot.org,200
thegatewaypundit.com,200
thehornnews.com,200
thelastamericanvagabond.com,200
themindunleashed.com,403
thenationalpatriot.com,406
thenewsclub.info,406
tmn.today,403
toprightnews.com,exception
tribunist.com,521
trueactivist.com,200
trunews.com,200
truthfeed.com,200
truthuncensoRed.net,200
usasupreme.com,200
